Ticket_ID,Communication_Log,Contact_Type
314375,"ich habe mir das am Freitag noch einmal angeschaut und obwohl der Code schon dahingehend gestimmt hat, dass die Bilderübertragung durch die automatische Schnittstelle abgewürgt wird, habe ich darasn noch Änderungen vorgenommen, um sicherzugehen, dass das auch wirklich passiert.
 
Sie müssten also bitte noch einmal die Schnittstelle von Ihrem Rechner aus auslösen.
 
Achten Sie bitte darauf, dass dies nicht zu den Minuten 0,15,30,45 passiert. Es könnte ansonsten sein, dass sich Ihr manuell angestoßener Lauf mit dem automatischen überschneidet und möglicherweise dann auch Ihr Lauf beendet wird.
 
Ich hoffe, das klappt jetzt!",eMail evidenz
314375,"Hallo X. Steckmann.
 
Ich war in Urlaub, deswegen von mir die verspätete Rückmeldung.
 
Leider funktioniert es nicht bei allen Bildern. Jetzt fehlen wieder 3. 
 
Vielen Dank.",eMail Kunde
314375,"Hallo X Team.
 
Ich kämpfe immer noch mit dem gleichen Problem. Die Bilder wollen einfach nicht alle ins Netz. Ich bräuchte da bitte eine Lösung die dauerhaft funktioniert. Vielen Dank.",eMail Kunde
314375,"Können wir für nächste Woche einen Termin machen? Ich müsste mich noch einmal aufschalten, um zu überprüfen, warum eigentlich die zwischenzeitlich getroffenen Maßnahmen nicht (mehr?) greifen. Eigentlich müsste jede Übertragung durch den automatischen task abgewürgt werden und nur die von ihnen manuell angestoßene Übertragung durch kommen.
Wie sieht es bei Ihnen Dienstag vormittag aus? Alternativ passt es bei mir auch amDienstag Nachmittag oder am Brückentag (Freitag) ganz gut, ansonsten Montag oder Mittwoch vormittag.",eMail evidenz
314375,"Hallo X. Steckmann.
 
Dienstag passt gut. Wieviel Uhr soll ich mir eintragen? Wahrscheinlich mache ich was falsch….
 
Vielen Dank.",eMail Kunde
314375,"am besten gleich morgens, wenn der Tag für Sie startet. Für mich beginnt er (am Schreibtisch) um 07:45.
Sagen wir 09:00 ?",eMail evidenz
314375,"Hallo X. Steckmann.
 
Jetzt ist natürlich am Dienstag etwas dazwischengekommen. Können wir das heute oder am Mittwoch machen? Heute hätte ich den ganzen Tag Zeit, am Mittwoch würde ab 9:00 Uhr passen. Sorry und Danke.",eMail Kunde
314375,"ich habe den Fehler in dem Skript, das den Import durch den automatischen Lauf sperrt gefunden und beseitigt.
Bitte lösen Sie die Schnittstelle noch einmal von Ihrem Rechner aus, damit ich prüfen kann, ob es jetzt wirklich funktioniert. 
Vielen Dank.",eMail evidenz
314375,"Hallo X. Steckmann.
 
Das sieht sehr gut aus. Nur ein Bild fehlt, das liegt aber an uns (nichts hinterlegt 😊).
 
Vielen Dank fürs „dranbleiben“!",eMail Kunde
314375,SC Abgeschlossen Lösung:,dummy
314448,SC Abgeschlossen Lösung:,dummy
314511,"wie ist hier der aktuelle Stand? Bitte um Ihr Feedback dazu. Danke!
 
Freundliche",eMail Kunde
314511,"das offizielle Supportende für Outlook 2016 ist lt. Microsoft der 14.Oktober 2025:
Aus diesem Grunde stand ein Umstieg auf Outlook 2019 hier noch nicht auf dem Zeitplan. Wenngleich ein Vorziehen des Upgrades denkbar wäre, würden wir lieber X anderen Vorschlag machen:
Wir könnten Ihre Installation sehr kurzfristig (noch diese Woche) auf einen anderen Server umziehen. Es würde sich dabei nicht mehr um eine physische Maschine handeln, sondern um einen DSGVO-konformen Azure-Cloud-Server.
Die Performance, Stabilität und Sicherheit des neuen Servers ist höher, als der bisher genutzten Server und es läuft darauf Office 2019 in der 64-Bit-Version, was weitere Vorteile mit sich bringt (die 32-Bit-Anwendungen können nur begrenzt Speicher nutzen).
Ein Umzug aller Kunden auf diesen Server ist deshalb ohnehin projektiert.
Für Sie gäbe es durch den Umzug keine Änderung, lediglich die RDP-Verbindungen müssten einmal aktualisiert werden.
Wäre das ein gangbarer Weg?",eMail evidenz
314511,"SC Abgeschlossen Lösung:ein paar Exporte habe funktioniert, andere wiederum wie z.B. von Frau X X der Logdatei wird ein Fehler angezeigt, dass zeige ich gleich unserem Kollegen von der Entwicklung und melde mich wieder.",dummy
314637,"Moin Herr X,
diese Mail ist durch mein Raster gerutscht. Dennoch möchte ich Ihnen hierzu gerne antworten:
1.	
	Solche Teilnahmen können weggefiltert werden
2.	
	Die Anführungszeichen können ebenfalls weggefiltert werden
Zu den Fällen 3. und 4. kann ich nichts Genaueres sagen. Allerdings hat die Relevanz dieses Teils der Schnittstelle mittlerweile stark abgenommen und wir hinterfragen davon abgesehen die weitere Nutzung von Business Central mit offenem Ausgang. Es ist aus unserer Sicht also nicht notwendig hier weiter nachzuforschen. 
Dieses Ticket kann, falls noch nicht geschehen, somit gerne geschlossen werden. Vielen Dank
Beste",eMail Kunde
314637,"SC Abgeschlossen Lösung:Wie vermutet lief der Hintergrunddienst/Task nicht. Ist jetzt aber stündlich aktiv. 
@Aron: Bitte prüfe mal, ob jetzt Daten ankommen und erfolgreich verarbeitet wurden oder ob du Fehlermeldungen in deinem Log findest. 
Auf unserer Seite sind aktuell sehr viele Meldungen im Log, die wir aber noch analysieren müssen, so ganz gesund sieht das nicht aus.
Wir schauen es uns nächste Woche genauer an.",dummy
314650,"SC Abgeschlossen Lösung:Vielen Dank für die Mail, wir werden dies entsprechend prüfen.",dummy
314656,"aktuell führt eine Umbuchung von Teilnehmern über die Umbuchungsfunktion dazu, dass diese von der Kursumgebung auf moodle abgemeldet werden. Da scheint sich etwas verändert zu haben, weil das in der Vergangenheit funktioniert hat.
Aktuelles Beispiel, diesen Teilnehmer habe ich noch nicht wieder manuell am moodle Kurs angemeldet:
xxx@xxx.com <mailto:ar%7au%6d%61%6d%6da%64%396@g%6d%61%69%6c%2ec%6f%6d> 
Viele",eMail Kunde
314656,"das Problem zieht leider noch weitere Kreise. Wenn wir Teilnehmer die einen Kurs nicht bestehen via ""Umbuchung"" auf den neuen Termin übernehmen und sie bei diesem Vorgang, wie unten beschrieben, am Moodle-Kursraum abgemeldet. aber nicht wieder angemeldet werden, kommen diese Teilnehmer in die Mahnschleife für ""nicht abgeleisteten Selbstlernteil"" - was natürlich ein falscher Alarm ist und einige aufschreckt (mit Meldung beim Support).
Beides, falsche Mahnungen und ""ich sehe meine Kursinhalte nicht"" verursacht leider aktuell einen gewissen Support-Aufwand.
In der Vergangenheit hat das funktioniert. Wurden nicht mal die zeitlichen Abstände zwischen den Vorgängen hochgesetzt o.ä.?
Viele",eMail Kunde
314656,"ich habe zum Umbuchungsproblem noch einen konkreten Fall, den ich noch nicht wieder manuell angemeldet habe.
Vielleicht hilft das ja für eine log-file Auswertung oder ähnliches.
xxx@xxx.com <mailto:s%65v%69%6e%63%6d%73tfz%64@%67m%61%69%6c%2e%63om> 
In seinem Fall wurde auf einen anderen Kurstermin des gleichen Kurstyps umgebucht und er wurde in moodle abgemeldet und nicht wieder angemeldet.
Da er ein ""Wiederholer"" ist hat er die Kursinhalte schon erledigt und ich muss ihn nicht direkt wieder anmelden.
Deswegen könnte man seinen Fall mal genauer anschauen.
Viele",eMail Kunde
314656,"hier noch mehr Datenmaterial:
unter allen in der letzten Zeit beobachteten Umbuchungen ist das hier die einzige, die korrekt ablief, also der TN nicht am moodlekurs abgemeldet wurde.
xxx@xxx.com <mailto:xxx@xxx.com> 
Vielleicht ja hilfreich.
Viele",eMail Kunde
314656,"Ich habe endlich Zeit gefunden, mich der Umbuchungsthematik anzunehmen.
Dabei haben wir eine wesentliche Änderung vorgenommen:
Bisher wurden die Abmeldungen getrennt von den Anmeldungen in der Schnittstelle übertragen, die auch den Erfolg in Moodle abfragt.
Das haben wir jetzt dahingehend geändert, dass die Abmeldungen in der Schnittstelle übertragen werden, die auch die Anmeldungen überträgt.
Zuerst wird angemeldet und dann im Anschluss sofort angemeldet. Da es sich jetzt um dieselbe Schnittstelle handelt, kann es auch keinen Zeitversatz zwischen den Läufen mehr geben bzw. kann ein Fehler bei der Abfrage des Erfolges in Moodle keine Wirkung auf die Abmeldungen mehr haben.
Da der Anmeldeexport stets nur einzelne An/Abmeldungen übertragen muss, läuft er sehr schnell und kann deshalb sehr kurz getaktet werden
Der Kollege ändert die Schnittstellenlaufzeiten im Laufe des Tages wie folgt:
*	Personenexport, An/Abmeldeexport alle 15 Minuten, jeweils zur Minute 1, 16, 31, 46
*	Personensync, Anmeldesync  04:00, 10:00, 16:00, 20:00 
Die in den vergangenen zwei Wochen beobachteten Unzulänglichkeiten entstammten dem Umstand, dass der Kollege zur Reduzierung der Serverlast ALLE Schnittstellen nur um 04:00, 10:00 und 16:00 laufen ließ.
Damit konnte leicht eine Lücke von 12 Stunden zwischen 2 Zuständen entstehen.
Ich gehe davon aus, dass wir mit der Änderung die dringend gebotene Optimierung erreichen.
Sie werden dies sicherlich kritisch prüfen und mir berichten",eMail evidenz
314656,"das klingt sehr gut und es hatte sich auch schon wieder entspannt, vermutlich weil die Schnittstellen wieder öfters liefen.
Die zeitlichen Lücken erklären auch, dass es teilweise wirklich zu sehr verzögerten Veränderungen kam.
Aber diese Lösung klingt auf jedem Fall nachhaltig verbessert, Danke!
Ich behalte es auf jedem Fall weiter im Auge ;-)
(bzw. die diesbezüglichen Problem im Support...da taucht es dann ja leider früher oder später immer auf, wenn die TN ihre Inhalte nicht finden)
Viele",eMail Kunde
314656,SC Abgeschlossen Lösung:Evidenz prüft den Sachverhalt und gibt eine Rückmeldung.,dummy
314723,"SC Abgeschlossen Lösung:Die Einbettung des evidenz-Buchungssystems in die Webseite stimmt noch nicht ganz. Es sind hier zwei iFrames ineinander verschachtelt, wodurch die automatische Größenänderung nicht funktioniert. Der Javascript-Code für die Größenänderung muss in der Hauptseite stehen:
Bitte ändern Sie diese Einbettung noch einmal ab. Evtl. sollten Sie nicht den Container <wix-iframe data-src> verwenden, sondern direkt unseren Code in einen Code-Blockeinfügen (falls es so etwas in dem Wix-System gibt).
Der korrekte Einbettungscode lautet:
<script type=text/javascript src=https://evidenz.de/download/iframe_js_code.js></script>
<iframe name=evidenz_obs src=https://seminar.metis-weiterbildung.de style=border:none; height:800px; width:100%; frameborder=0 seamless data-scrolltop></iframe>
Bitte geben Sie mir Bescheid, wenn das geändert wurde, danach optimieren wir die responsive Darstellung für kleine Displays (Smartphones etc.).",dummy
314726,"SC Abgeschlossen Lösung:Vielen Dank für die Mail. Wenn das Problem noch bestehen sollte, würde ich mich gerne einmal mit Ihnen auf ihren Rechner schalten und mir den Sachverhalt anschauen. Wann wäre dies möglich?",dummy
314756,"sehe gerade, dass dieses Tickt immer noch offen ist. Könnten Sie bitte „Gutschein 2023 Mitglieder“ aus dem Themen-Filter entfernen? Danke!",eMail Kunde
314756,"Ich habe jetzt einen kleinen Trick gemacht: Ich habe das Thema „Gutschein 2023 Mitglieder“ jetzt in „Aktionen“ umbenannt:
 
 
Damit steht jetzt auch im Filter „Aktionen“. Das ist unverfänglicher als „Gutschein“.
Trotzdem bleibt die Filterliste dadurch dynamisch und auch ne angelegte Themen werden darin angezeigt.",eMail evidenz
314756,SC Abgeschlossen Lösung:,dummy
314785,"dies ist nun schon so lange her, dass ich leider gar nicht mehr weiß, worum es ging, außer, dass ich überlegte, den Text anzupassen und dies im Team besprechen wollte. Können Sie sich daran erinnern, bzw. haben eine Notiz dazu, warum ich dies machen wollte, bzw. was ggf. angepasst werden sollte...? Ich vermute nicht, aber wollte dennoch nachfragen, bevor ich dieses Ticket ansonsten verwerfen muss... Tut mir leid, wie Sie sehen, komme ich bzgl. einiger Themen schwer hinterher... Ggf. muss ich ansonsten warten, bis irgendetwas wieder aufploppt, was mich daran erinnert, was wir doch auch in diesem Text haben sollten... Jetzt fällt es mir absolut nicht mehr ein, weshalb ich nicht mehr weiß, was ich mit dem Team besprechen wollte...
Viele",eMail Kunde
314785,"SC Abgeschlossen Lösung:Sie hatte sich im Oktober nur erkundigt ob Sie oder ob wir diesen Text anpassen können. Ich vermute, dass eine Phrase oder ein Satz nicht so ganz gefallen gefunden hat :)
Einen Fehler konnte ich beim drüber lesen nicht erkennen.
Grundsätzlich ist es so, dass wir den Text anpassen können und wenn Sie eine Änderung wünschen werden wir das auch umsetzen.
Das hat keine Priorität, lassen Sie sich ruhig Zeit. Das Ticket schließe ich hiermit und Sie melden sich wenn änderungsbedarf besteht.",dummy
314785,"Sie hatte sich im Oktober nur erkundigt ob Sie oder ob wir diesen Text anpassen können. Ich vermute, dass eine Phrase oder ein Satz nicht so ganz Gefallen gefunden hat :) 
Einen Fehler konnte ich beim drüber lesen nicht erkennen. 
Grundsätzlich ist es so, dass wir den Text anpassen können und wenn Sie eine Änderung wünschen werden wir das auch umsetzen. 
Das hat keine Priorität, lassen Sie sich ruhig Zeit. Das Ticket schließe ich hiermit und Sie melden sich wenn änderungsbedarf besteht.",eMail evidenz
314785,"danke für die Info, dann warte ich jetzt, bis ich mich erinnere, bzw. bis ein Bedarf entsteht, den Text anzupassen und dass Sie das Ticket in der Zwischenzeit schließen ist gut.
Viele",eMail Kunde
314785,"SC Abgeschlossen Lösung:wie eben telefonisch besprochen können Sie sich eine Anpassung des Textes ausdenken und wir passen das für Sie dann direkt an.
Aktuell steht folgender Text drin:
Guten Tag Oi_PeAnrede Oi_PeTitel Oi_PeNachname,
vielen Dank für Ihre Anmeldung zu unserem Kursangebot, Ihre Angaben zur Anmeldung finden Sie nachstehend. 
Die ggf. von Ihnen angefragten Unterlagen zur Beantragung von Bildungsurlaub werden zeitnah nach der Anmeldung versandt. Die Rechnung und weitere Unterlagen erhalten Sie ca. 2-4 Wochen vor Seminarbeginn zugesandt.
Für darüber hinausgehende Informationen wenden Sie sich bitte unter Angabe der Kursnummer Ve_CodeKomplett  an uns (E-Mail: #(a href=xxx@xxx.com)#xxx@xxx.com#(/a)#)",dummy
314790,SC Abgeschlossen Lösung:,dummy
314824,"SC Abgeschlossen Lösung:Stellen nicht auf Web.Net um, daher nicht machbar.",dummy
314824,"nun hat es bei uns leider etwas gedauert und wir sind in der finalen Phase die Google Adwords zu reaktivieren. 

 

Das Tracking soll dann auch aktiviert werden.

 

Die Adwords-Kampagne ist fertig und in der Prüfung durch Google.

 

Im Bereich Conversions-Tracking muss eine URL angeben werden. Das sollte dann die Kaufbestätigungsseite sein, können Sie uns hier bitte die entsprechende URL senden.

Wie gehen wir weiter vor? Sie benötigen die Website-Tags von Google um diese auf der Zielseite einzubauen, richtig?

Viele",eMail Kunde
314824,evidenz Mitarbeiter geändert von pg auf dh,eMail Kunde
314824,"ich nehme mich diesem Sachverhalt einmal an. Leider gibt es nun hier weiteres Problem. Wir hatten Frau X und Frau X die Möglichkeiten zur Umstellung auf unser Web.Net OBS gezeigt, was Grundvoraussetzung für die Nutzung der Ad-Words ist. Leider wollten Sie aus Layouttechnischen Gründen nicht umstellen. Dadurch können wir jetzt auch keine Ad-Words installieren. Gerne können wir zwei uns auch dazu einmal telefonisch austauschen. 
Viele",eMail evidenz
314824,"ich habe heute noch einmal mit Frau X zum Thema Google AdWords Conversions telefoniert. 

 

Das soll schnellstmöglich umgesetzt werden. 

 

Frau X sagte mir das Evidenz eine Zuarbeit von uns benötigt, das machen wir gerne. Was genau ist notwendig?

 

Gerne können wir dazu telefonieren. 

 

Viele",eMail Kunde
314824,"dies ist eine E-Mail aus dem evidenz Ticketsystem. Hiermit teilen wir Ihnen den Abschluss des Tickets mit. 
Ticket-Nr +000 000 000 000
Anfrage und Zielvereinbarung 
Google AdWords 
Wie können wir das Conversion-Tracking der Google AdWords in das Evidenz System einbinden um die Umsätze via Google Werbung messbar zu machen? 
Aktionsplan 
Solange das OBS nicht umgestellt ist auf die API-Variante ist der Einsatz von Google AdWords nicht möglich. Das hatten wir auch so mitgeteilt. Gerne können wir nächste Woche einmal dazu telefonieren. 
Lösung war 
Stellen nicht auf Web.Net um, daher nicht machbar.",eMail evidenz
314824,"ja, lassen Sie uns gerne telefonieren. Kann ich Sie erreichen oder rufen Sie an?

 

Es sollte doch möglich sein zumindest eine Snippet in eine Zielseite zu integrieren, um nur die Zahl der Conversions zu messen, ohne konkrete Umsatzzahlen.

 

Viele",eMail Kunde
314824,"dies ist eine E-Mail aus dem evidenz Ticketsystem. Hiermit teilen wir Ihnen den Abschluss des Tickets mit. 
Ticket-Nr +000 000 000 000
Anfrage und Zielvereinbarung 
Google AdWords 
Wie können wir das Conversion-Tracking der Google AdWords in das Evidenz System einbinden um die Umsätze via Google Werbung messbar zu machen? 
Aktionsplan 
Wie schaut es am Mittwoch z.B. bei Ihnen aus?",eMail evidenz
314824,"wunderbar, ich bin von 12 – 16 Uhr gut erreichbar.

 

Viele",eMail Kunde
314824,"dies ist eine E-Mail aus dem evidenz Ticketsystem. Hiermit teilen wir Ihnen den Abschluss des Tickets mit. 
Ticket-Nr +000 000 000 000
Anfrage und Zielvereinbarung 
Google AdWords 
Wie können wir das Conversion-Tracking der Google AdWords in das Evidenz System einbinden um die Umsätze via Google Werbung messbar zu machen? 
Aktionsplan 
Ich melde mich dann bei Ihnen. 
Lösung war 
Stellen nicht auf Web.Net um, daher nicht machbar.",eMail evidenz
314824,"SC Abgeschlossen Lösung:Kein SC, Aftersales",dummy
317871,"Sie haben vor einer Weile die Auswertung „ia_Personen ohne Login“ für uns erstellt.
Nun war ich etwas verwundert, da Sie hier bei Bemerkung folgenden Hinweis (gelb markiert) angegeben haben:
 
 
Ist diese Selektion wirklich jedes Mal notwendig? Bei mir erscheint, wenn ich dies ausführe unter der Personenkontakt-Selektion ohnehin immer unter Bemerkung „Logindaten*“.
 
Muss ich hier nochmal irgendwo gesondert selektieren? Falls nein, würde ich den Hinweis einfach entfernen.",eMail Kunde
317871,"SC Abgeschlossen Lösung:ich glaube, dass Sie das löschen können :) wenn ohnehin eine Eingabe automatisch vorhanden ist müssen Sie ja nichts mehr manuell tun. Vielleicht war das on einer früheren Version noch als Überbleibsel mit gekommen…
Ruhig entfernen :)",dummy
317871,"ich glaube, dass Sie das löschen können :) wenn ohnehin eine Eingabe automatisch vorhanden ist müssen Sie ja nichts mehr manuell tun. Vielleicht war das on einer früheren Version noch als Überbleibsel mit gekommen… 
Ruhig entfernen :)",eMail evidenz
317871,"vielen Dank für die Antwort – ich hatte mir dies auch bereits gedacht, wollte mich dennoch nochmal kurz mit Ihnen dazu abstimmen. Ich kann mich nämlich auch nicht mehr genau erinnern, woher dieser Vermerk kam.
 
 
Herzliche",eMail Kunde
317871,SC Abgeschlossen Lösung:,dummy
317877,"Sie sind hoffentlich gut ins neue Jahr gestartet.
 
Ich bitte um kurzfristige Rückmeldung zur angedachten Systemumstellung. Hierzu hatten wir Anfang Dezember Kontakt – leider habe ich bis heute noch keine Rückmeldung von Ihnen erhalten.
 
Ist diese Umstellung mit einer Kosteneinsparung oder zumindest Kostenneutralität verbunden? 
Hat die Systemumstellung Folgen für die Nutzung von Evidenz für unsere Mitarbeiter?
Läuft Evidenz flüssiger durch die Systemumstellung?
Sowohl für die Kalenderfunktion als auch für die Möglichkeit der Online-Buchungen wäre eine Systemumstellung notwendig, richtig?
 
Bitte geben Sie mir doch bis Ende der Woche eine Rückmeldung, damit wir die Thematik angehen können.
 
 
Beste",eMail Kunde
317877,"bezüglich des kaufmännischen Teils der angedachten Änderung muss ich leider noch einmal bei unserem Vertrieb nachhaken, dazu kann ich nichts sagen.
Vom Prinzip her ist es jedoch so, dass Sie das Modul „Onlinebuchungssystem“ ja schon bezahlen. Nach der Umstellung würde sich dessen Nutzung dahingehend reduzieren, dass Sie nicht mehr (von uns) eine fertige Seite geliefert bekommen, sondern nur noch Rohdaten, die Ihre Webseite dann selbst darstellt sowie ein Anmeldeformular.. Ich würde von daher davon ausgehen, dass keine zusätzlichen Kosten anzunehmen sind.
 
Was den technischen Teil angeht, beantworte ich Ihre Fragen  
 
Frage: Hat die Systemumstellung Folgen für die Nutzung von Evidenz für unsere Mitarbeiter?
Antwort: Die Umstellung betrifft nur den Online-Kalender, nicht das Programm selbst
 
Frage: Läuft Evidenz flüssiger durch die Systemumstellung?
Antwort: Nein. Die Umstellung wirkt sich auf die Anwendung nicht aus.
 
Frage: Sowohl für die Kalenderfunktion als auch für die Möglichkeit der Online-Buchungen wäre eine Systemumstellung notwendig, richtig?
Antwort: Nein. Auch der bisher genutzte Online-Kalender kann Anmeldungen annehmen, also ein Anmeldeformular anzeigen
 
 
Der Gedanke der Umstellung kam daher, dass es spezielle, themenabhängige Darstellungswünsche für den Kalender gibt, die wir so nicht realisieren können, weil es sich um ein von vielen Kunden genutztes Standardsystem handelt.
Mit einem Abgreifen der Seminardaten über einen Webservice wäre Ihre Agentur hingegen frei in der Darstellung.",eMail evidenz
317877,"besten Dank für Ihre Rückmeldung zum technischen Teil.
 
Bitte haken Sie doch direkt beim Vertrieb nach bzgl. der Finanzen, sodass ich bis Mitte kommender Woche eine aussagekräftige Rückmeldung von Ihrem Vertrieb bekomme.
 
 
 
Beste",eMail Kunde
317877,SC Abgeschlossen Lösung:Evidenz prüft die Machbarkeit und gibt eine Rückmeldung.,dummy
317912,"SC Abgeschlossen Lösung:um welche Anlage hier handelt es sich, wenn es um die in der ersten Zeile geht, da fehlt die Bezeichnung und das Online Häkchen.",dummy
317945,"vielen herzlichen Dank verspätet noch an dieser Stelle für Ihre Rückmledung hierzu! Es hat geklappt und ist gut, dass ich jetzt weiß, wie das geht! Das Ticket kann somit geschlossen werden.
Freundliche",eMail Kunde
317945,SC Abgeschlossen Lösung:,dummy
317955,SC Abgeschlossen Lösung:Evidenz nimmt die gewünschte Änderung vor.,dummy
317969,"können wir morgen dazu kurz telefonieren?
 
Besten Dank,
 
Markus Lorenz
 
________________________________
Von: evidenz Hotline <xxx@xxx.com <mailto:xxx@xxx.com> >
Gesendet: Montag, 4. Dezember +000 000 000 000:38
An: Poehn, X X <mailto:xxx@xxx.com> >
Cc: X X (DACH) <xxx@xxx.com <mailto:xxx@xxx.com> >
Betreff: evidenz Support-Ticket evsc#+000 000 000 000
 
	Caution EXTERNAL E-MAIL: This is an external email and may have suspicious subject or content. Please take care when clicking links or opening attachments. When in doubt, contact your IT Department 
 
Hallo X X,
Herr X X bei uns eine Supportanfrage gestellt, weil er in SAP Rechnungen schreiben möchte, aber die Daten aus evidenz nicht aktualisiert wurden.
Ich habe mir den Sachverhalt heute angesehen und dabei folgende Prüfungen mit folgenden Ergebnissen durchgeführt:
1.	Datenbanktrigger: Änderungen an den Veranstaltungsdaten oder den Teilnahmedaten führen zum Setzen der beiden Flags „am_Rodenstockgeaendert“ und „am_geaendert“ in der Tabelle „tblanmeldungen“ OK
2.	Im Schnittstellenlog gibt es keine Fehler OK
3.	Die Schnittstellendatei ist inhaltlich plausibel (Prüfung durch Herrn X X dem Schnittstellenlauf wird „am_Rodenstockgeaendert“ zurückgesetzt OK (Das war der Ausgangszustand der  Prüfung: das Feld war bei allen Datensätzen 0)
Es sieht von daher danach aus, als hätte das Problem seine Ursache auf der SAP-Seite.
Könnten Sie das bitte einmal prüfen (lassen)?
Des Weiteren hat Herr X X ein Anliegen: Im Feld 7 der Schnittstellendatei wird übermittelt, ob für die übergebene Teilnahme der „Partnerbonus“ angerechnet wird.
Derzeit wird dieses Feld nicht berücksichtigt, was zur Folge hat, dass immer jemand die Rechnungen prüft und ggf. eine Gutschrift erstellt.
Der bessere Ablauf wäre freilich, dass automatisiert das Merkmal in Spalte 7 ausgewertet wird. Dieses Feld / diese Spalte enthält entweder Nichts (=kein Parterbonus) oder den Wert „on“ (=Partnerbonus).
Könnten Sie bitte prüfen lassen, ob eine solche Änderung möglich wäre und hierzu Herrn X X Rückmeldung geben?
Für Ihre Bemühungen danke ich vorab!",eMail Kunde
317969,"können Sie mir bitte einen Screenshot der Anmeldedetails schicken, damit ich die Belegung der Anmeldeselektfelder vor Augen habe?
Vielen Dank!",eMail evidenz
